i,community,district,lakefront,bronzeville
1,DOUGLAS,SOUTH SIDE,TRUE,TRUE
2,OAKLAND,SOUTH SIDE,TRUE,TRUE
3,FULLER PARK,SOUTH SIDE,FALSE,FALSE
4,GRAND BOULEVARD,SOUTH SIDE,FALSE,TRUE
5,KENWOOD,SOUTH SIDE,TRUE,FALSE
6,LINCOLN SQUARE,FAR NORTH SIDE,FALSE,FALSE
7,WASHINGTON PARK,SOUTH SIDE,FALSE,FALSE
8,HYDE PARK,SOUTH SIDE,TRUE,FALSE
9,WOODLAWN,SOUTH SIDE,TRUE,FALSE
10,ROGERS PARK,FAR NORTH SIDE,TRUE,FALSE
11,JEFFERSON PARK,FAR NORTH SIDE,FALSE,FALSE
12,FOREST GLEN,FAR NORTH SIDE,FALSE,FALSE
13,NORTH PARK,FAR NORTH SIDE,FALSE,FALSE
14,ALBANY PARK,FAR NORTH SIDE,FALSE,FALSE
15,PORTAGE PARK,NORTHWEST SIDE,FALSE,FALSE
16,IRVING PARK,NORTHWEST SIDE,FALSE,FALSE
17,DUNNING,NORTHWEST SIDE,FALSE,FALSE
18,MONTCLARE,NORTHWEST SIDE,FALSE,FALSE
19,BELMONT CRAGIN,NORTHWEST SIDE,FALSE,FALSE
20,WEST RIDGE,FAR NORTH SIDE,FALSE,FALSE
21,HERMOSA,NORTHWEST SIDE,FALSE,FALSE
22,AVONDALE,NORTH SIDE,FALSE,FALSE
23,LOGAN SQUARE,NORTH SIDE,FALSE,FALSE
24,HUMBOLDT PARK,WEST SIDE,FALSE,FALSE
25,WEST TOWN,WEST SIDE,FALSE,FALSE
26,AUSTIN,WEST SIDE,FALSE,FALSE
27,WEST GARFIELD PARK,WEST SIDE,FALSE,FALSE
28,EAST GARFIELD PARK,WEST SIDE,FALSE,FALSE
29,NEAR WEST SIDE,WEST SIDE,FALSE,FALSE
30,NORTH LAWNDALE,WEST SIDE,FALSE,FALSE
31,UPTOWN,FAR NORTH SIDE,TRUE,FALSE
32,SOUTH LAWNDALE,WEST SIDE,FALSE,FALSE
33,LOWER WEST SIDE,WEST SIDE,FALSE,FALSE
34,NEAR SOUTH SIDE,CENTRAL,TRUE,FALSE
35,ARMOUR SQUARE,SOUTH SIDE,FALSE,FALSE
36,NORWOOD PARK,FAR NORTH SIDE,FALSE,FALSE
37,NEAR NORTH SIDE,CENTRAL,TRUE,FALSE
38,LOOP,CENTRAL,TRUE,FALSE
39,SOUTH SHORE,SOUTH SIDE,TRUE,FALSE
40,CHATHAM,FAR SOUTHEAST SIDE,FALSE,FALSE
41,AVALON PARK,FAR SOUTHEAST SIDE,FALSE,FALSE
42,SOUTH CHICAGO,FAR SOUTHEAST SIDE,TRUE,FALSE
43,BURNSIDE,FAR SOUTHEAST SIDE,FALSE,FALSE
44,MCKINLEY PARK,SOUTHWEST SIDE,FALSE,FALSE
45,LAKE VIEW,NORTH SIDE,TRUE,FALSE
46,CALUMET HEIGHTS,FAR SOUTHEAST SIDE,FALSE,FALSE
47,ROSELAND,FAR SOUTHEAST SIDE,FALSE,FALSE
48,NORTH CENTER,NORTH SIDE,FALSE,FALSE
49,PULLMAN,FAR SOUTHEAST SIDE,FALSE,FALSE
50,SOUTH DEERING,FAR SOUTHEAST SIDE,FALSE,FALSE
51,EAST SIDE,FAR SOUTHEAST SIDE,TRUE,FALSE
52,WEST PULLMAN,FAR SOUTHEAST SIDE,FALSE,FALSE
53,RIVERDALE,FAR SOUTHEAST SIDE,FALSE,FALSE
54,HEGEWISCH,FAR SOUTHEAST SIDE,FALSE,FALSE
55,GARFIELD RIDGE,SOUTHWEST SIDE,FALSE,FALSE
56,ARCHER HEIGHTS,SOUTHWEST SIDE,FALSE,FALSE
57,BRIGHTON PARK,SOUTHWEST SIDE,FALSE,FALSE
58,BRIDGEPORT,SOUTH SIDE,FALSE,FALSE
59,NEW CITY,SOUTHWEST SIDE,FALSE,FALSE
60,WEST ELSDON,SOUTHWEST SIDE,FALSE,FALSE
61,GAGE PARK,SOUTHWEST SIDE,FALSE,FALSE
62,CLEARING,SOUTHWEST SIDE,FALSE,FALSE
63,WEST LAWN,SOUTHWEST SIDE,FALSE,FALSE
64,CHICAGO LAWN,SOUTHWEST SIDE,FALSE,FALSE
65,WEST ENGLEWOOD,SOUTHWEST SIDE,FALSE,FALSE
66,ENGLEWOOD,SOUTHWEST SIDE,FALSE,FALSE
67,GREATER GRAND CROSSING,SOUTH SIDE,FALSE,FALSE
68,LINCOLN PARK,NORTH SIDE,TRUE,FALSE
69,ASHBURN,FAR SOUTHWEST SIDE,FALSE,FALSE
70,AUBURN GRESHAM,FAR SOUTHWEST SIDE,FALSE,FALSE
71,BEVERLY,FAR SOUTHWEST SIDE,FALSE,FALSE
72,WASHINGTON HEIGHTS,FAR SOUTHWEST SIDE,FALSE,FALSE
73,MOUNT GREENWOOD,FAR SOUTHWEST SIDE,FALSE,FALSE
74,MORGAN PARK,FAR SOUTHWEST SIDE,FALSE,FALSE
75,OHARE,FAR NORTH SIDE,FALSE,FALSE
76,EDGEWATER,FAR NORTH SIDE,TRUE,FALSE
77,EDISON PARK,FAR NORTH SIDE,FALSE,FALSE
